YEARID,TEAM,AVGSALRY,ALLSTARS,ATTEND,WINS,TI                
1997,1,1.0043700,1,1976886,84,5         
1998,1,1.2141470,2,2376783,85,5         
1999,1,1.3847040,1,2324943,69,5         
2000,1,1.7154720,2,2170233,81,5         
2001,1,1.5845060,2,2248722,75,5         
1998,2,.8985280,1,2881656,64,4          
1999,2,2.0207060,4,2731239,99,4         
2000,2,2.8938510,2,2681505,85,4         
2001,2,3.0386790,3,2655747,92,4         
1985,3,.6730450,1,1688607,65,17         
1986,3,.5897510,1,1628667,72,17         
1987,3,.5170180,2,1574154,69,17         
1988,3,.4389030,1,1516077,54,17         
1989,3,.3704110,1,1497933,63,17         
1990,3,.4548590,1,1479627,64,17         
1991,3,.7361400,1,2036097.0000000,93,17 
1992,3,1.1169460,4,2606742,98,17        
1993,3,1.2618610,5,3411882,104,17       
1994,3,1.6461170,3,3363363,96,17        
1995,3,1.6288080,2,2573532,101,17       
1996,3,1.6566170,6,2650401,96,17        
1997,3,1.6864030,7,2896398,100,17       
1998,3,1.9120630,6,3030372,105,17       
1999,3,2.5220690,2,2901015,103,17       
2000,3,2.8179280,5,2875257,94,17        
2001,3,2.9656830,2,2564379,87,17        
1985,4,.5254870,2,1973808,83,17         
1986,4,.4483190,3,1855548,73,17         
1987,4,.4633420,2,1862595,67,17         
1988,4,.5011880,1,2313846,54,17         
1989,4,.3653770,2,2291004,86,17         
1990,4,.2616240,2,2243619,76,17         
1991,4,.5651290,1,2099844,67,17         
1992,4,.7206260,3,2878983,88,17         
1993,4,.9092660,2,2918916,85,17         
1994,4,1.2532180,3,3007854,91,17        
1995,4,1.1876360,1,2729619,79,17        
1996,4,1.7028220,3,2888541,87,17        
1997,4,2.0178070,4,2991006,98,17        
1998,4,2.4118540,3,2973672,79,17        
1999,4,2.3030250,4,2822364,77,17        
2000,4,2.8085320,2,2655828,74,17        
2001,4,2.3310190,1,2719818,63,17        
1985,5,.4359020,3,1793907,80,17         
1986,5,.4966290,4,2220129,95,17         
1987,5,.6762780,3,2115477,77,17         
1988,5,.5790040,3,2224503,88,17         
1989,5,.6723750,2,2455029,82,17         
1990,5,.6424480,3,2455677,87,17         
1991,5,1.1722500,3,2453571,84,17        
1992,5,1.4067930,2,2414529,73,17        
1993,5,1.1974380,1,2484027,80,17        
1994,5,1.2619690,1,2389176,76,17        
1995,5,.8771760,2,2308419,96,17         
1996,5,1.1775970,1,2215593,85,17        
1997,5,1.2811400,1,2198907,77,17        
1998,5,1.7199090,3,2393064,92,17        
1999,5,2.0483060,3,2429838,93,17        
2000,5,2.5980110,4,2555307,85,17        
2001,5,3.4386200,1,2660688,82,17        
1985,6,.5152820,1,2182950,90,12         
1986,6,.4974920,2,2170476,92,12         
1987,6,.4756850,1,2290842,75,12         
1988,6,.4266920,1,2106648,75,12         
1989,6,.5806860,2,2308095,91,12         
1990,6,.6205710,2,2300562,80,12         
1991,6,1.0664520,2,2456568,81,12        
1992,6,1.1583110,1,1848582,71,12        
1993,6,.8933850,1,2176632,70,12         
1994,6,.7861320,1,2079027,66,12         
1995,6,.9461570,4,2022489,87,12         
1996,6,.7767030,2,1884789,70,12         
1985,7,.4688660,2,1753083,84,17         
1986,7,.3360910,1,1567674,71,17         
1987,7,.5317450,1,1534464,76,17         
1988,7,.2662500,1,1551393,71,17         
1989,7,.2996000,1,1574640,69,17         
1990,7,.3061770,2,2113533,93,17         
1991,7,.6042740,3,2674134,86,17         
1992,7,1.0053610,2,2450655,86,17        
1993,7,1.2805210,2,2578392,93,17        
1994,7,1.3061280,2,2526066,96,17        
1995,7,1.3417510,1,1914597.0000000,75,17                    
1996,7,1.5617070,2,1910709.0000000,85,17                    
1997,7,1.6038890,2,2064366,80,17        
1998,7,1.1616670,1,1826955,79,17        
1999,7,.8006250,1,1829385,75,17         
2000,7,1.0735690,3,2185947,94,17        
2001,7,2.4316170,1,1987740.0000000,82,17                    
1985,8,.5774050,1,2208384,76,17         
1986,8,.5551020,2,1818126,70,17         
1987,8,.5503080,4,2157678,76,17         
1988,8,.5247680,6,2085831,76,17         
1989,8,.4445000,4,2390391,92,17         
1990,8,.4394840,3,2207007,76,17         
1991,8,.9270270,3,1872234,77,17         
1992,8,1.0653460,2,2131596,77,17        
1993,8,1.2308330,2,2598561,83,17        
1994,8,1.1705590,1,2656800,70,17        
1995,8,.9220570,3,2177685,82,17         
1996,8,1.0290940,1,2240460,75,17        
1997,8,1.3173540,1,2283876,68,17        
1998,8,1.6399350,1,2746305,89,17        
1999,8,1.6849460,1,2807217,67,17        
2000,8,2.0179780,1,2777166,64,17        
2001,8,2.3968830,2,2804301,87,17        
1985,9,.3799960,2,1827441,88,17         
1986,9,.3968800,2,1771470,86,17         
1987,9,.3569810,3,2162700,84,17         
1988,9,.3555360,3,2016090,87,17         
1989,9,.3817930,3,2235519,75,17         
1990,9,.4226470,5,2297565,91,17         
1991,9,1.0117440,4,2218104,74,17        
1992,9,1.3307960,2,2217699,90,17        
1993,9,1.3599900,2,2413719,73,17        
1994,9,1.3213490,2,2462886,92,17        
1995,9,1.2689610,4,2031966,95,17        
1996,9,1.2150380,1,2000133,81,17        
1997,9,1.2442000,2,1990251,75,17        
1998,9,.6766180,1,1993005.0000000,76,17 
1999,9,1.0955730,3,2141073,95,17        
2000,9,1.7358220,3,2829249,84,17        
2001,9,1.8142960,1,2275938,65,17        
1985,10,.3275830,1,1111563,59,17        
1986,10,.2519190,2,1589301,83,17        
1987,10,.3128880,1,1487646,61,17        
1988,10,.4062050,1,1713636,77,17        
1989,10,.3368330,2,1743525,73,17        
1990,10,.4390000,3,1639035,76,17        
1991,10,.5878330,1,1731051,57,17        
1992,10,.2678010,3,1724976,75,17        
1993,10,.4640250,2,2199636,75,17        
1994,10,.8711570,2,2775789,94,17        
1995,10,1.0839380,7,2717793,112,17      
1996,10,1.5518500,5,2871531,99,17       
1997,10,1.8323370,3,2825766,86,17       
1998,10,1.8424290,6,2907414,88,17       
1999,10,1.9204860,6,2961846,97,17       
2000,10,2.9184910,4,2966949,90,17       
2001,10,3.1050670,2,2795715,91,17       
1993,11,.3137420,1,3593646,67,9         
1994,11,.7025690,1,3486159,73,9         
1995,11,.9487420,2,2919726,86,9         
1996,11,1.2961230,3,3021381,82,9        
1997,11,1.4519890,3,3064149,82,9        
1998,11,1.6828220,3,2972376,76,9        
1999,11,1.8216420,1,2877039,71,9        
2000,11,2.1825430,3,2783484,81,9        
2001,11,2.7515900,3,2833137,73,9        
1985,12,.5174070,6,2149092,84,17        
1986,12,.4568780,3,1860408,86,17        
1987,12,.5270820,4,2040147,98,17        
1988,12,.5595470,2,2164239,87,17        
1989,12,.5422560,1,1854576,58,17        
1990,12,.5331280,2,1814562,79,17        
1991,12,.9535330,1,2028078.0000000,84,17                    
1992,12,.9758160,1,1874907,75,17        
1993,12,1.2306500,2,2179305,85,17       
1994,12,1.3369840,2,2103003,74,17       
1995,12,1.1225510,1,1721655,67,17       
1996,12,.7324380,1,1621944,52,17        
1997,12,.5955860,1,1793988,79,17        
1998,12,.6875710,1,1805004,64,17        
1999,12,1.0732250,1,2107944,69,17       
2000,12,2.1579690,1,2350053,79,17       
2001,12,1.9077200,1,2065824,65,17       
1993,13,.5685450,2,2880279,63,9         
1994,13,.5846760,1,2634606,71,9         
1995,13,.6625890,1,1936143,75,9         
1996,13,.9433940,3,1953882,80,9         
1997,13,1.6194330,3,2264841,92,9        
1998,13,1.0330670,1,2079756,53,9        
1999,13,.5856940,1,1763208,63,9         
2000,13,.7097140,1,1765800,79,9         
2001,13,1.1536290,2,1637010,75,9        
1985,14,.4996530,2,1415718,82,17        
1986,14,.4113870,4,1776492,96,17        
1987,14,.4502990,1,1907712.0000000,75,17                    
1988,14,.4725450,1,1921806.0000000,81,17                    
1989,14,.5566480,2,1940598,86,17        
1990,14,.5912900,1,1592622,75,17        
1991,14,.5172920,2,1619676,64,17        
1992,14,.5135830,2,1580958,81,17        
1993,14,1.0417410,1,2251638,85,17       
1994,14,1.0038180,5,2296431,92,17       
1995,14,.9491620,1,1715175,85,17        
1996,14,.9189350,2,2005722,81,17        
1997,14,1.1218550,3,2081781.0000000,84,17                   
1998,14,1.3241880,2,2343168,102,17      
1999,14,1.7160630,4,2338389,97,17       
2000,14,1.8995970,1,2751408,71,17       
2001,14,2.1647380,3,2626020,92,17       
1985,15,.4236900,1,1945620,91,17        
1986,15,.4658460,2,2169828,75,17        
1987,15,.4380760,2,2284281,82,17        
1988,15,.5598680,3,2123091,84,17        
1989,15,.6919840,2,2295540,92,17        
1990,15,.6674600,1,2169747,75,17        
1991,15,1.2533250,1,1900017,81,17       
1992,15,1.2104940,1,2043387,71,17       
1993,15,1.2562170,1,2164158,84,17       
1994,15,1.5015310,1,2143584,90,17       
1995,15,.7383210,1,1658556,78,17        
1996,15,.6145830,1,1773171,75,17        
1997,15,.9366220,1,1901313,67,17        
1998,15,.9451920,1,1896696,72,17        
1999,15,.7087840,1,1872639,64,17        
2000,15,.8368930,2,2000700,76,17        
2001,15,1.2650890,1,1883493,64,17       
1985,16,.4768660,2,2602692,94,17        
1986,16,.4660560,2,2562354,73,17        
1987,16,.4884070,2,2462238,73,17        
1988,16,.5616840,1,2568834,93,17        
1989,16,.6797280,4,2591757,77,17        
1990,16,.6091060,2,2564784,86,17        
1991,16,1.0930220,5,2919645,92,17       
1992,16,1.5444200,1,2338389,63,17       
1993,16,1.2291250,1,2914785,81,17       
1994,16,1.2258060,1,3089745,82,17       
1995,16,1.0614380,5,2637360,87,17       
1996,16,1.1048440,3,2569806,90,17       
1997,16,1.5126770,1,2978937,87,17       
1998,16,1.4358820,2,2741688,82,17       
1999,16,2.3783070,1,2859057,76,17       
2000,16,3.3817030,2,2855736,86,17       
2001,16,3.7622740,2,2849823,86,17       
1985,17,.3034120,2,1776978,76,17        
1986,17,.3976440,1,1600317,70,17        
1987,17,.7108330,1,1981098,85,17        
1988,17,.5418550,2,2505249,91,17        
1989,17,.6075690,1,2148606,80,17        
1990,17,.4056110,1,1880253,74,17        
1991,17,.9734100,1,2315628,94,17        
1992,17,1.0009940,1,2378484,90,17       
1993,17,.8550890,1,2177685,70,17        
1994,17,.9479500,1,2217780,75,17        
1995,17,.7906720,1,1514619,63,17        
1996,17,.7005150,1,1725624,77,17        
1997,17,1.0991130,1,1755918,68,17       
1998,17,.9974970,1,2071170,74,17        
1999,17,1.3555440,2,1817559,74,17       
2000,17,1.1407920,1,1966599,72,17       
2001,17,1.5673870,1,2573775,68,17       
1985,18,.5939000,1,1473876,71,17        
1986,18,.3551300,1,1522638,77,17        
1987,18,.2545470,1,1954044,91,17        
1988,18,.3819090,5,1932903,86,17        
1989,18,.4026770,2,2096604,81,17        
1990,18,.5329500,1,1978101,74,17        
1991,18,1.0050220,3,1851498,82,17       
1992,18,1.1486540,3,2015037,92,17       
1993,18,.7214190,2,1985472,69,17        
1994,18,.7855000,2,2094903,74,17        
1995,18,.5085380,1,1621377,73,17        
1996,18,.6391180,1,1701810,80,17        
1997,18,.6957450,1,1816668,78,17        
1998,18,.9630170,1,1665441,69,17        
1999,18,.7330170,1,1741176,63,17        
2000,18,.6353650,1,1696140,69,17        
2001,18,.8937040,3,2028726.0000000,85,17                    
1985,19,.4735080,3,1686420,84,17        
1986,19,.3469880,3,1535436,78,17        
1987,19,.2892520,3,1931850,91,17        
1988,19,.3841330,1,1709424,80,17        
1989,19,.4931210,2,1965546,81,17        
1990,19,.5350450,2,1684800,85,17        
1991,19,.6313140,2,1603638,71,17        
1992,19,.5860120,2,1470960,86,17        
1993,19,.4845980,1,2117502,93,17        
1994,19,.6820710,5,2257227,105,17       
1995,19,.3746670,1,1717362,74,17        
1996,19,.5246610,2,1924803,87,17        
1997,19,.6224350,1,1925370.0000000,77,17                    
1998,19,.3224700,1,1614492,64,17        
1999,19,.5115140,1,1541106,68,17        
2000,19,1.1377360,2,1573830,67,17       
2001,19,1.1341770,1,1555686,68,17       
1985,20,.7119100,3,2181816,97,17        
1986,20,.6605090,4,2231793,90,17        
1987,20,.4885630,5,2439396,88,17        
1988,20,.6480380,3,2637927,85,17        
1989,20,.5520770,2,2362770,74,17        
1990,20,.6337070,1,2105514,67,17        
1991,20,.9765770,1,2122524,70,17        
1992,20,1.1376770,1,2079999,75,17       
1993,20,1.2916640,2,2511162,87,17       
1994,20,1.5280110,2,2396709,100,17      
1995,20,1.4374960,2,2101221,88,17       
1996,20,1.5938760,3,2240865,92,17       
1997,20,2.1462600,3,2613546,96,17       
1998,20,2.0877150,4,2797659,114,17      
1999,20,2.9908400,4,3126357,98,17       
2000,20,3.2977950,4,3071034,87,17       
2001,20,3.6221660,6,3060261,95,17       
1985,21,.5159410,4,2376864,98,17        
1986,21,.5497760,5,2471229,108,17       
1987,21,.5538690,4,2675430,92,17        
1988,21,.6107730,4,2836296,101,17       
1989,21,.7101810,2,2713095,86,17        
1990,21,.6788390,3,1986363,91,17        
1991,21,1.2534620,2,2258280,77,17       
1992,21,1.7154620,1,1952991.0000000,71,17                   
1993,21,1.3014560,1,2288979,58,17       
1994,21,.9985990,1,2129247,78,17        
1995,21,.6750000,1,1745307,77,17        
1996,21,.7418030,2,1834569,70,17        
1997,21,1.1371540,2,2074572.0000000,87,17                   
1998,21,1.5781210,2,2228553,87,17       
1999,21,2.0997450,1,2636793,96,17       
2000,21,3.1803910,3,2721762,93,17       
2001,21,3.2129110,2,2541861,81,17       
1985,22,.4313620,1,1500525,76,17        
1986,22,.3154650,1,1570509,75,17        
1987,22,.4492630,2,1805571,81,17        
1988,22,.4213040,5,2268972,104,17       
1989,22,.6245230,5,2476494,98,17        
1990,22,.5849270,5,2752461,103,17       
1991,22,1.4230450,5,2674620,84,17       
1992,22,1.2823440,3,2466207,96,17       
1993,22,1.0772380,1,2178414,68,17       
1994,22,1.0355300,1,2159460,72,17       
1995,22,1.0199790,2,1646649,75,17       
1996,22,.5741350,1,1639278,77,17        
1997,22,.6158590,1,1812780,64,17        
1998,22,.6086570,1,1788642,74,17        
1999,22,.8143940,1,1841697,86,17        
2000,22,1.1841230,3,2110779,91,17       
2001,22,1.2522500,1,2204334,102,17      
1985,23,.5328930,2,1766853,75,17        
1986,23,.3738760,2,1832544,86,17        
1987,23,.4797600,3,1776897,80,17        
1988,23,.5322310,2,2026782.0000000,64,17                    
1989,23,.4171600,2,1889568,66,17        
1990,23,.4391220,1,1991142.0000000,76,17                    
1991,23,.7495780,1,1812375,77,17        
1992,23,.8127940,2,1829709,69,17        
1993,23,.8918230,4,2902149,97,17        
1994,23,.9874690,3,2823093,76,17        
1995,23,.7666240,5,2108106,77,17        
1996,23,.7980120,1,1913058,67,17        
1997,23,.9164130,1,1828980,68,17        
1998,23,1.0370710,1,1962144,75,17       
1999,23,.9321320,3,2060964.0000000,76,17                    
2000,23,1.6313100,1,2042577,64,17       
2001,23,1.6024550,1,1955097,86,17       
1985,24,.5040280,1,1222452,57,17        
1986,24,.3739140,2,1332774,63,17        
1987,24,.3060800,1,1531467,80,17        
1988,24,.2221670,3,2013093,86,17        
1989,24,.4304170,1,1749519,73,17        
1990,24,.4321110,3,2050272,94,17        
1991,24,.8753580,2,2069064,98,17        
1992,24,1.2122920,2,1954530,96,17       
1993,24,.7521960,2,2080080,75,17        
1994,24,.7122720,1,2141235,75,17        
1995,24,.5562230,2,1492587,65,17        
1996,24,.6576430,1,1671840,73,17        
1997,24,.3077620,1,1914030.0000000,79,17                    
1998,24,.4304290,1,1926990,68,17        
1999,24,.6499390,1,1915974,78,17        
2000,24,1.1126280,2,2102193,69,17       
2001,24,1.8632530,1,2321136,62,17       
1985,25,.4865910,7,2103084,82,17        
1986,25,.4552280,1,1787832,74,17        
1987,25,.4098440,1,1630530,64,17        
1988,25,.3541110,1,1801278,83,17        
1989,25,.5401920,3,2028888.0000000,88,17                    
1990,25,.5496350,3,2171205,75,17        
1991,25,.7383330,2,1916298,84,17        
1992,25,.9590770,5,1875150,81,17        
1993,25,.7503330,2,1954854,61,17        
1994,25,.4261810,1,1840644,65,17        
1995,25,.8510430,1,1562976,78,17        
1996,25,.9449390,2,2198178,91,17        
1997,25,1.2884020,3,2149659,75,17       
1998,25,1.5620500,5,2439639,98,17       
1999,25,1.5081270,3,2485404,74,17       
2000,25,1.8273670,1,2484351,75,17       
2001,25,1.4401050,2,2460375,79,17       
1985,26,.2562780,1,1299402,74,17        
1986,26,.2291660,1,1436859,67,17        
1987,26,.2515000,2,1464318,77,17        
1988,26,.2824020,1,1579986,68,17        
1989,26,.4074790,1,1621053,73,17        
1990,26,.3692260,2,1852065,76,17        
1991,26,.6035320,1,2157921,82,17        
1992,26,.7781190,2,1905849,63,17        
1993,26,.9907980,2,2179872,81,17        
1994,26,.8857120,2,2221992,70,17        
1995,26,1.0423230,3,1909089,88,17       
1996,26,1.2155440,5,2486295,85,17       
1997,26,1.2981460,4,2792475,90,17       
1998,26,1.4233430,2,2547450,76,17       
1999,26,1.5034720,1,2681424,79,17       
2000,26,2.2659620,3,2690496,91,17       
2001,26,2.6686010,8,3026565,115,17      
1985,27,.4110860,1,1371735,62,17        
1986,27,.3195360,3,1729269,82,17        
1987,27,.2934780,1,2037798,90,17        
1988,27,.4952000,2,1925208,82,17        
1989,27,.5343870,3,2163348,92,17        
1990,27,.5686860,4,2123820,85,17        
1991,27,1.1910640,1,1967328,75,17       
1992,27,1.3265270,1,1796580,71,17       
1993,27,1.1306450,4,2686041,103,17      
1994,27,1.3719250,3,2491236,77,17       
1995,27,.9349430,2,1720683,75,17        
1996,27,1.0612780,2,1836918,68,17       
1997,27,1.1122620,3,2061045,90,17       
1998,27,1.5202080,2,2250099,88,17       
1999,27,1.6067260,2,2252529,86,17       
2000,27,2.0668390,2,2956986,97,17       
2001,27,2.3437100,3,3084075,90,17       
1985,28,.4726830,5,2272860,100,17       
1986,28,.3657410,1,2109969,79,17        
1987,28,.3792900,3,2697543,94,17        
1988,28,.4770370,4,2481759,75,17        
1989,28,.5742440,4,2508894,84,17        
1990,28,.5863810,1,2331018,69,17        
1991,28,.7537930,3,2125359,84,17        
1992,28,.9511670,4,2155977,82,17        
1993,28,.7789110,2,2714472,86,17        
1994,28,.9758530,2,2728971,74,17        
1995,28,.9763420,2,2069550,70,17        
1996,28,1.2202930,1,2378727,87,17       
1997,28,1.2626850,3,2420523,73,17       
1998,28,1.5620720,1,2963061,82,17       
1999,28,1.3827280,2,3050055,75,17       
2000,28,2.2760690,4,3030210,94,17       
2001,28,2.6179440,2,2910249,92,17       
1998,29,.8266670,1,2324619,63,4         
1999,29,1.0228950,2,1978506.0000000,69,4                    
2000,29,2.0246820,1,1884222,69,4        
2001,29,2.1103700,1,2373462,62,4        
1985,30,.3838250,1,1346301,62,17        
1986,30,.2593510,1,1681074,86,17        
1987,30,.2200000,1,1780299,75,17        
1988,30,.2428240,1,1744659,70,17        
1989,30,.3964590,4,2070117,82,17        
1990,30,.4020100,1,2019249.0000000,82,17                    
1991,30,.8678330,3,2299752,85,17        
1992,30,.9718760,3,2271807,76,17        
1993,30,.9572880,2,2322756,86,17        
1994,30,.9992000,2,2908872,73,17        
1995,30,1.0171020,2,2046060,83,17       
1996,30,1.1830770,2,2462886,89,17       
1997,30,1.4445630,1,2529063,76,17       
1998,30,1.8857370,4,2620755,87,17       
1999,30,2.5569980,4,2427327,94,17       
2000,30,2.7229200,1,2603502,70,17       
2001,30,2.8591450,2,2676159,73,17       
1985,31,.4363090,4,2168937,99,17        
1986,31,.4683100,3,2073600,85,17        
1987,31,.4592540,3,2368764,96,17        
1988,31,.4669700,1,2283795,86,17        
1989,31,.5448160,2,2081214,88,17        
1990,31,.6521050,3,2958525,86,17        
1991,31,.7042670,3,3201444,91,17        
1992,31,1.2441300,3,3164589,96,17       
1993,31,1.4327020,7,3303180,94,17       
1994,31,1.4477890,4,3298968,77,17       
1995,31,1.5330300,1,2585682,63,17       
1996,31,.8986790,1,2269944,74,17        
1997,31,1.4266620,2,2341953,75,17       
1998,31,1.6055000,1,2311497,87,17       
1999,31,1.4201350,2,2175498,84,17       
2000,31,1.7935330,3,2013741,82,17       
2001,31,2.7462860,1,2068011.0000000,80,17                   
